nome_canal,perfil_canal,inscritos,pais,avg_views,avg_likes,avg_comments
CH8vdo,ช่อง8 : Thai Ch8,14300000,Thailand,2300.0,26.0,0.0
fcbarcelona,FC Barcelona,14200000,United States,119200.0,7900.0,185.0
Трум Трум,Трум Трум,14200000,,324600.0,3100.0,179.0
inventonahoratv,Invento na Hora,14200000,Brazil,827200.0,111500.0,1700.0
DM - Desi Melodies,DM - Desi Melodies,14200000,India,54200.0,2300.0,108.0
camilaloures,Camila Loures,14200000,Brazil,186400.0,17000.0,297.0
Vlad and Niki ARA,Vlad and Niki ARA,14200000,,82200.0,858.0,0.0
EdisonPts,EdisonPts,14200000,Russia,1800000.0,126800.0,5500.0
crashcourse,CrashCourse,14200000,United States,40800.0,2400.0,165.0
OfficialTrapCity,Trap City,14200000,United States,22600.0,1200.0,46.0
Kim Loaiza,Kim Loaiza,14200000,Mexico,28600000.0,1100000.0,104700.0
MazhavilManorama,Mazhavil Manorama,14200000,India,26200.0,299.0,8.0
MasterskayaNastroeny,Мастерская Настроения,14200000,Russia,294000.0,6500.0,143.0
Doc Tops,Doc Tops,14200000,Mexico,403000.0,22900.0,448.0
whoisjimmy,How Ridiculous,14200000,United States,359100.0,13800.0,89.0
#Refugio Mental,#Refugio Mental,14200000,Argentina,262700.0,4000.0,67.0
Hongyu ASMR 홍유,Hongyu ASMR 홍유,14100000,United States,620800.0,12000.0,369.0
Akshay Nagwadiya,Akshay Nagwadiya,14100000,India,1300000.0,80200.0,412.0
MY FAMILY,MY FAMILY,14100000,India,895700.0,4500.0,105.0
Sagawa /さがわ,Sagawa /さがわ,14100000,United States,164700.0,1500.0,34.0
mispastelitosyoutub,Mis Pastelitos,14000000,Mexico,510400.0,24600.0,1400.0
Auron,Auron,14000000,Mexico,1500000.0,83800.0,1400.0
MNCTVOfficial,MNCTV OFFICIAL,14000000,Indonesia,3400.0,68.0,3.0
bomberball,Bie The Ska,14000000,Thailand,310700.0,11000.0,468.0
AM3NlC,AM3NlC,14000000,Brazil,228300.0,26600.0,354.0
F2Freestylers,F2Freestylers - Ultimate Soccer Skills Channel,14000000,United Kingdom,408500.0,17500.0,381.0
NikkieTutorials,NikkieTutorials,14000000,United States,353800.0,20500.0,491.0
RosannaPansino,Rosanna Pansino,14000000,United States,81600.0,5700.0,67.0
Spider Slack,Spider Slack,14000000,Brazil,821800.0,98900.0,181.0
SrtaLynaV,Lyna,14000000,Mexico,340700.0,18500.0,994.0
Aadishakti Films,Aadishakti Films,14000000,,25300.0,1200.0,124.0
5-Minute Crafts Recycle,5-Minute Crafts Recycle,13900000,India,36800.0,293.0,9.0
gmmchannel,GMM25Thailand,13900000,Thailand,1700.0,53.0,1.0
ADEL et SAMI,ADEL et SAMI,13900000,France,33900.0,176.0,0.0
NehaKakkarOfficial,Neha Kakkar,13900000,India,496100.0,34900.0,399.0
